Open,High,Low,Close,Volume,Year,Month,Day,5_SMA,5_EMA,20_SMA,20_EMA,50_SMA,50_EMA,200_SMA,200_EMA,Cross,MACD,Stochastic_Oscillator
10836.9296875,10860.1396484375,10789.6201171875,10805.5498046875,254440000,2005,12,20,10856.569921875,10834.962658146498,10850.239453125,10807.303176536781,10619.991953125,10696.592502398338,10511.33306640625,10540.331133848134,108.65888671874927,48.92817166936402,0.3202897741721403
10805.6298828125,10900.8896484375,10805.6298828125,10833.73046875,257850000,2005,12,21,10846.6140625,10834.551928347666,10848.3544921875,10809.820061509468,10631.6031640625,10701.97046186311,10511.473618164062,10543.250530215317,120.12954589843866,45.49634844998036,0.6122795141133787
10831.5595703125,10891.0400390625,10829.16015625,10889.4404296875,229500000,2005,12,22,10848.1681640625,10852.848095460944,10847.022021484376,10817.4029537169,10645.05376953125,10709.322225307202,10511.663271484374,10546.695205831957,133.39049804687602,46.733220607018666,1.0
10883.26953125,10904.7998046875,10869.830078125,10883.26953125,126720000,2005,12,23,10849.7041015625,10862.988574057297,10844.6044921875,10823.675961101006,10658.38736328125,10716.143688285352,10512.207817382812,10550.044204094824,146.17954589843794,46.67744227228286,0.9540583376955738
10883.75,10932.8203125,10776.490234375,10777.76953125,174190000,2005,12,27,10837.951953125,10834.582226454866,10838.956982421874,10819.303920162816,10668.19595703125,10718.560388009457,10512.074116210937,10552.31012774811,156.12184082031308,37.68585021774561,0.16862240446693422
10778.25,10825.16015625,10778.25,10796.259765625,153230000,2005,12,28,10836.0939453125,10821.808072844911,10834.361962890625,10817.109238778263,10677.15916015625,10721.607422425754,10512.329916992188,10554.737487328974,164.82924316406206,31.686691661141595,0.3062801721630896
10795.7001953125,10825.240234375,10779.2197265625,10784.8203125,160010000,2005,12,29,10826.3119140625,10809.478819396609,10833.30947265625,10814.034102942238,10687.15037109375,10724.086359291412,10513.088666992187,10557.02686867396,174.061704101563,25.712845344301968,0.1401385332808951
10783.8603515625,10783.8603515625,10709.419921875,10717.5,191020000,2005,12,30,10791.923828125,10778.819212931074,10823.55595703125,10804.840378852501,10693.2177734375,10723.82807069175,10513.544418945312,10558.623616249344,179.67335449218808,15.369176203254028,0.0
10718.2998046875,10862.7802734375,10684.4501953125,10847.41015625,302950000,2006,1,3,10784.751953125,10801.68286070405,10822.0509765625,10808.894643366548,10704.543984375,10728.674426988153,10514.633120117187,10561.4971141598,189.91086425781214,17.45321795937525,0.7555532836931396
10843.9697265625,10892.6396484375,10833.900390625,10880.150390625,271490000,2006,1,4,10805.228125,10827.838704011032,10824.3080078125,10815.680905010211,10717.84259765625,10734.614660856265,10516.206923828126,10564.667793527615,201.6356738281247,21.498873724603982,0.9459694320911926
10880.3896484375,10908.25,10843.650390625,10882.150390625,250910000,2006,1,5,10822.40625,10845.942599549022,10825.572509765625,10822.01133221162,10727.78560546875,10740.400375749157,10518.265126953125,10567.826824344504,209.52047851562565,24.583089794517946,0.9576013676611744
10875.4501953125,10968.83984375,10875.4501953125,10959.3095703125,291740000,2006,1,6,10857.3041015625,10883.731589803516,10832.99248046875,10835.087354887894,10739.41439453125,10748.98505004576,10520.781577148438,10571.722175050654,218.63281738281148,32.874497462034924,1.0
